student,date,effortScore,class,acPercentile
403764,03/2021,77,2021 Year 7,0.24
480895,03/2021,82,2021 Year 7,0.24
411030,03/2021,90,2021 Year 7,0.59
481316,03/2021,92,2021 Year 7,0.47
402991,03/2021,92,2021 Year 7,0.51
400432,03/2021,82,2021 Year 7,0.14
411408,03/2021,70,2021 Year 7,0.16
469576,03/2021,65,2021 Year 7,0.24
413579,03/2021,90,2021 Year 7,0.78
439387,03/2021,93,2021 Year 7,0.96
407262,03/2021,91,2021 Year 7,0.73
483625,03/2021,74,2021 Year 7,0.61
425062,03/2021,83,2021 Year 7,0.86
482420,03/2021,86,2021 Year 7,0.46
426867,03/2021,96,2021 Year 7,0.42
459888,03/2021,68,2021 Year 7,0.18
470428,03/2021,82,2021 Year 7,0.41
378371,03/2021,71,2021 Year 7,0.04
398420,03/2021,91,2021 Year 7,0.36
457780,03/2021,73,2021 Year 7,0.62
421838,03/2021,77,2021 Year 7,0.31
416685,03/2021,74,2021 Year 7,0.10
385758,03/2021,72,2021 Year 7,0.21
463560,03/2021,67,2021 Year 7,0.06
448945,03/2021,79,2021 Year 7,0.32
402513,03/2021,93,2021 Year 7,0.79
471797,03/2021,92,2021 Year 7,0.75
469304,03/2021,85,2021 Year 7,0.22
446018,03/2021,81,2021 Year 7,0.65
441925,03/2021,78,2021 Year 7,0.22
409812,03/2021,73,2021 Year 7,0.13
380775,03/2021,79,2021 Year 7,0.38
385158,03/2021,92,2021 Year 7,0.96
454909,03/2021,80,2021 Year 7,0.73
376826,03/2021,78,2021 Year 7,0.18
411779,03/2021,87,2021 Year 7,0.33
427943,03/2021,87,2021 Year 7,0.59
434291,03/2021,96,2021 Year 7,0.86
431000,03/2021,89,2021 Year 7,0.37
376947,03/2021,75,2021 Year 7,0.57
399788,03/2021,73,2021 Year 7,0.11
419773,03/2021,61,2021 Year 7,0.46
430883,03/2021,92,2021 Year 7,0.85
379017,03/2021,87,2021 Year 7,0.58
466497,03/2021,88,2021 Year 7,0.88
468414,03/2021,83,2021 Year 7,0.17
455836,03/2021,86,2021 Year 7,0.17
380682,03/2021,96,2021 Year 7,0.63
396660,03/2021,72,2021 Year 7,0.64
395552,03/2021,71,2021 Year 7,0.25
446580,03/2021,89,2021 Year 7,0.87
477848,03/2021,82,2021 Year 7,0.36
416968,03/2021,91,2021 Year 7,0.76
445197,03/2021,83,2021 Year 7,0.67
381763,03/2021,73,2021 Year 7,0.30
478092,03/2021,66,2021 Year 7,0.04
429225,03/2021,83,2021 Year 7,0.35
478373,03/2021,81,2021 Year 7,0.63
464775,03/2021,90,2021 Year 7,0.89
397816,03/2021,77,2021 Year 7,0.36
458100,03/2021,87,2021 Year 7,0.61
452745,03/2021,89,2021 Year 7,0.50
424476,03/2021,72,2021 Year 7,0.79
411055,03/2021,80,2021 Year 7,0.94
415901,03/2021,92,2021 Year 7,0.99
462992,03/2021,93,2021 Year 7,0.62
397508,03/2021,75,2021 Year 7,0.84
441637,03/2021,90,2021 Year 7,0.71
483004,03/2021,96,2021 Year 7,0.38
470475,03/2021,70,2021 Year 7,0.50
406722,03/2021,85,2021 Year 7,0.46
479494,03/2021,88,2021 Year 7,0.84
444951,03/2021,91,2021 Year 7,0.57
423357,03/2021,92,2021 Year 7,0.46
418074,03/2021,86,2021 Year 7,0.66
390593,03/2021,66,2021 Year 7,0.48
477768,06/2021,78,2021 Year 7,0.48
446484,06/2021,83,2021 Year 7,0.74
383448,06/2021,96,2021 Year 7,0.97
394950,06/2021,57,2021 Year 7,0.02
439751,06/2021,81,2021 Year 7,0.48
413309,06/2021,88,2021 Year 7,0.92
417021,06/2021,93,2021 Year 7,0.64
387698,06/2021,77,2021 Year 7,0.58
462749,06/2021,82,2021 Year 7,0.60
451772,06/2021,82,2021 Year 7,0.28
437244,06/2021,84,2021 Year 7,0.48
450689,06/2021,90,2021 Year 7,0.61
408849,06/2021,82,2021 Year 7,0.19
472926,06/2021,57,2021 Year 7,0.21
395536,06/2021,88,2021 Year 7,0.49
390452,06/2021,86,2021 Year 7,0.28
439610,06/2021,85,2021 Year 7,0.70
475950,06/2021,91,2021 Year 7,0.79
428561,06/2021,97,2021 Year 7,0.93
458174,06/2021,91,2021 Year 7,0.23
462302,06/2021,88,2021 Year 7,0.28
449259,06/2021,76,2021 Year 7,0.09
482423,06/2021,83,2021 Year 7,0.56
399189,06/2021,84,2021 Year 7,0.81
464963,06/2021,76,2021 Year 7,0.21
477962,06/2021,67,2021 Year 7,0.31
387568,06/2021,89,2021 Year 7,0.64
477140,06/2021,92,2021 Year 7,0.91
462236,06/2021,71,2021 Year 7,0.04
445260,06/2021,83,2021 Year 7,0.70
426914,06/2021,93,2021 Year 7,0.26
406815,06/2021,66,2021 Year 7,0.09
436903,06/2021,72,2021 Year 7,0.17
449800,06/2021,94,2021 Year 7,0.99
481420,06/2021,76,2021 Year 7,0.23
428185,06/2021,92,2021 Year 7,0.85
460836,06/2021,94,2021 Year 7,0.63
459609,06/2021,87,2021 Year 7,0.54
472002,06/2021,91,2021 Year 7,0.86
467190,06/2021,84,2021 Year 7,0.47
433473,06/2021,93,2021 Year 7,0.60
424325,06/2021,75,2021 Year 7,0.17
450521,06/2021,59,2021 Year 7,0.11
460505,06/2021,78,2021 Year 7,0.31
423145,06/2021,94,2021 Year 7,0.27
387070,06/2021,67,2021 Year 7,0.15
479408,06/2021,63,2021 Year 7,0.17
461331,06/2021,88,2021 Year 7,0.89
463268,06/2021,92,2021 Year 7,0.67
443179,06/2021,97,2021 Year 7,0.74
385135,06/2021,61,2021 Year 7,0.32
421871,06/2021,73,2021 Year 7,0.39
385344,06/2021,93,2021 Year 7,0.91
453329,06/2021,0,2021 Year 7,0.00
421284,06/2021,87,2021 Year 7,0.27
432860,06/2021,96,2021 Year 7,0.63
446195,06/2021,94,2021 Year 7,0.98
407159,06/2021,94,2021 Year 7,0.81
431958,06/2021,93,2021 Year 7,0.35
471365,06/2021,97,2021 Year 7,0.90
412051,06/2021,93,2021 Year 7,0.61
401295,06/2021,83,2021 Year 7,0.17
476290,06/2021,91,2021 Year 7,0.30
385300,06/2021,78,2021 Year 7,0.30
441983,06/2021,86,2021 Year 7,0.83
447384,06/2021,90,2021 Year 7,0.12
397567,06/2021,84,2021 Year 7,0.43
482451,06/2021,96,2021 Year 7,0.81
426231,06/2021,83,2021 Year 7,0.17
407057,06/2021,97,2021 Year 7,0.81
396426,06/2021,77,2021 Year 7,0.68
402868,06/2021,89,2021 Year 7,0.40
379007,06/2021,94,2021 Year 7,0.86
432347,06/2021,94,2021 Year 7,0.95
430856,06/2021,81,2021 Year 7,0.65
478626,06/2021,92,2021 Year 7,0.70
480993,06/2021,64,2021 Year 7,0.60
403764,06/2021,80,2021 Year 7,0.09
480895,06/2021,83,2021 Year 7,0.37
411030,06/2021,86,2021 Year 7,0.65
481316,06/2021,90,2021 Year 7,0.43
402991,06/2021,96,2021 Year 7,0.69
400432,06/2021,82,2021 Year 7,0.15
411408,06/2021,67,2021 Year 7,0.10
469576,06/2021,57,2021 Year 7,0.25
413579,06/2021,88,2021 Year 7,0.68
439387,06/2021,96,2021 Year 7,0.99
407262,06/2021,94,2021 Year 7,0.65
483625,06/2021,81,2021 Year 7,0.34
425062,06/2021,91,2021 Year 7,0.77
482420,06/2021,87,2021 Year 7,0.18
426867,06/2021,94,2021 Year 7,0.41
459888,06/2021,67,2021 Year 7,0.23
470428,06/2021,83,2021 Year 7,0.27
378371,06/2021,62,2021 Year 7,0.20
398420,06/2021,92,2021 Year 7,0.62
457780,06/2021,73,2021 Year 7,0.17
421838,06/2021,0,2021 Year 7,0.00
416685,06/2021,77,2021 Year 7,0.29
385758,06/2021,73,2021 Year 7,0.14
463560,06/2021,48,2021 Year 7,0.02
448945,06/2021,81,2021 Year 7,0.52
402513,06/2021,94,2021 Year 7,0.94
471797,06/2021,94,2021 Year 7,0.75
469304,06/2021,93,2021 Year 7,0.33
446018,06/2021,76,2021 Year 7,0.36
441925,06/2021,77,2021 Year 7,0.46
409812,06/2021,64,2021 Year 7,0.11
380775,06/2021,79,2021 Year 7,0.22
385158,06/2021,94,2021 Year 7,0.95
454909,06/2021,79,2021 Year 7,0.69
376826,06/2021,72,2021 Year 7,0.08
411779,06/2021,91,2021 Year 7,0.56
427943,06/2021,86,2021 Year 7,0.60
434291,06/2021,94,2021 Year 7,0.75
431000,06/2021,92,2021 Year 7,0.55
376947,06/2021,81,2021 Year 7,0.46
399788,06/2021,62,2021 Year 7,0.26
419773,06/2021,59,2021 Year 7,0.11
430883,06/2021,87,2021 Year 7,0.84
379017,06/2021,83,2021 Year 7,0.70
466497,06/2021,89,2021 Year 7,0.83
468414,06/2021,81,2021 Year 7,0.39
455836,06/2021,79,2021 Year 7,0.16
380682,06/2021,96,2021 Year 7,0.59
396660,06/2021,66,2021 Year 7,0.41
395552,06/2021,72,2021 Year 7,0.41
446580,06/2021,89,2021 Year 7,0.90
477848,06/2021,73,2021 Year 7,0.33
416968,06/2021,90,2021 Year 7,0.80
445197,06/2021,75,2021 Year 7,0.45
381763,06/2021,75,2021 Year 7,0.23
478092,06/2021,62,2021 Year 7,0.04
429225,06/2021,76,2021 Year 7,0.26
478373,06/2021,87,2021 Year 7,0.56
464775,06/2021,91,2021 Year 7,0.74
397816,06/2021,78,2021 Year 7,0.30
458100,06/2021,87,2021 Year 7,0.73
452745,06/2021,88,2021 Year 7,0.68
424476,06/2021,74,2021 Year 7,0.56
411055,06/2021,83,2021 Year 7,0.78
415901,06/2021,97,2021 Year 7,0.98
462992,06/2021,96,2021 Year 7,0.88
397508,06/2021,76,2021 Year 7,0.66
441637,06/2021,89,2021 Year 7,0.65
483004,06/2021,94,2021 Year 7,0.68
470475,06/2021,75,2021 Year 7,0.45
406722,06/2021,86,2021 Year 7,0.71
479494,06/2021,94,2021 Year 7,0.81
444951,06/2021,87,2021 Year 7,0.47
423357,06/2021,96,2021 Year 7,0.92
418074,06/2021,88,2021 Year 7,0.64
390593,06/2021,64,2021 Year 7,0.23
477768,09/2021,76,2021 Year 7,0.37
446484,09/2021,86,2021 Year 7,0.76
383448,09/2021,95,2021 Year 7,0.95
394950,09/2021,60,2021 Year 7,0.03
439751,09/2021,86,2021 Year 7,0.49
413309,09/2021,82,2021 Year 7,0.88
417021,09/2021,97,2021 Year 7,0.63
387698,09/2021,71,2021 Year 7,0.53
462749,09/2021,86,2021 Year 7,0.61
451772,09/2021,79,2021 Year 7,0.22
437244,09/2021,72,2021 Year 7,0.29
450689,09/2021,90,2021 Year 7,0.61
408849,09/2021,81,2021 Year 7,0.18
472926,09/2021,55,2021 Year 7,0.17
395536,09/2021,80,2021 Year 7,0.47
390452,09/2021,83,2021 Year 7,0.26
439610,09/2021,69,2021 Year 7,0.69
475950,09/2021,93,2021 Year 7,0.76
428561,09/2021,98,2021 Year 7,0.93
458174,09/2021,85,2021 Year 7,0.31
462302,09/2021,88,2021 Year 7,0.27
449259,09/2021,78,2021 Year 7,0.10
482423,09/2021,77,2021 Year 7,0.67
399189,09/2021,78,2021 Year 7,0.75
464963,09/2021,69,2021 Year 7,0.08
477962,09/2021,64,2021 Year 7,0.26
387568,09/2021,89,2021 Year 7,0.67
477140,09/2021,91,2021 Year 7,0.88
462236,09/2021,75,2021 Year 7,0.06
445260,09/2021,80,2021 Year 7,0.61
426914,09/2021,88,2021 Year 7,0.23
406815,09/2021,71,2021 Year 7,0.09
436903,09/2021,66,2021 Year 7,0.22
449800,09/2021,93,2021 Year 7,0.95
481420,09/2021,69,2021 Year 7,0.21
428185,09/2021,93,2021 Year 7,0.88
460836,09/2021,93,2021 Year 7,0.60
459609,09/2021,85,2021 Year 7,0.51
472002,09/2021,88,2021 Year 7,0.84
467190,09/2021,86,2021 Year 7,0.43
433473,09/2021,93,2021 Year 7,0.67
424325,09/2021,65,2021 Year 7,0.14
450521,09/2021,57,2021 Year 7,0.11
460505,09/2021,81,2021 Year 7,0.26
423145,09/2021,74,2021 Year 7,0.19
387070,09/2021,70,2021 Year 7,0.10
479408,09/2021,66,2021 Year 7,0.19
461331,09/2021,74,2021 Year 7,0.74
463268,09/2021,92,2021 Year 7,0.77
443179,09/2021,97,2021 Year 7,0.79
385135,09/2021,53,2021 Year 7,0.35
421871,09/2021,81,2021 Year 7,0.37
385344,09/2021,93,2021 Year 7,0.91
453329,09/2021,77,2021 Year 7,0.00
421284,09/2021,83,2021 Year 7,0.22
432860,09/2021,94,2021 Year 7,0.71
446195,09/2021,97,2021 Year 7,0.99
407159,09/2021,94,2021 Year 7,0.74
431958,09/2021,93,2021 Year 7,0.45
471365,09/2021,96,2021 Year 7,0.92
412051,09/2021,94,2021 Year 7,0.60
401295,09/2021,88,2021 Year 7,0.15
476290,09/2021,84,2021 Year 7,0.22
385300,09/2021,82,2021 Year 7,0.21
441983,09/2021,87,2021 Year 7,0.83
447384,09/2021,85,2021 Year 7,0.09
397567,09/2021,84,2021 Year 7,0.37
482451,09/2021,99,2021 Year 7,0.89
426231,09/2021,84,2021 Year 7,0.08
407057,09/2021,98,2021 Year 7,0.84
396426,09/2021,79,2021 Year 7,0.64
402868,09/2021,85,2021 Year 7,0.36
379007,09/2021,94,2021 Year 7,0.91
432347,09/2021,98,2021 Year 7,0.96
430856,09/2021,86,2021 Year 7,0.62
478626,09/2021,94,2021 Year 7,0.58
480993,09/2021,71,2021 Year 7,0.63
403764,09/2021,72,2021 Year 7,0.16
480895,09/2021,78,2021 Year 7,0.40
411030,09/2021,91,2021 Year 7,0.67
481316,09/2021,87,2021 Year 7,0.25
402991,09/2021,90,2021 Year 7,0.72
400432,09/2021,77,2021 Year 7,0.14
411408,09/2021,72,2021 Year 7,0.06
469576,09/2021,55,2021 Year 7,0.27
413579,09/2021,84,2021 Year 7,0.83
439387,09/2021,98,2021 Year 7,0.99
407262,09/2021,91,2021 Year 7,0.63
483625,09/2021,78,2021 Year 7,0.39
425062,09/2021,90,2021 Year 7,0.74
482420,09/2021,83,2021 Year 7,0.16
426867,09/2021,98,2021 Year 7,0.41
459888,09/2021,68,2021 Year 7,0.12
470428,09/2021,79,2021 Year 7,0.15
378371,09/2021,69,2021 Year 7,0.26
398420,09/2021,94,2021 Year 7,0.55
457780,09/2021,64,2021 Year 7,0.19
421838,09/2021,0,2021 Year 7,0.00
416685,09/2021,74,2021 Year 7,0.25
385758,09/2021,71,2021 Year 7,0.12
463560,09/2021,47,2021 Year 7,0.04
448945,09/2021,75,2021 Year 7,0.48
402513,09/2021,93,2021 Year 7,0.94
471797,09/2021,94,2021 Year 7,0.87
469304,09/2021,86,2021 Year 7,0.31
446018,09/2021,79,2021 Year 7,0.17
441925,09/2021,82,2021 Year 7,0.47
409812,09/2021,68,2021 Year 7,0.09
380775,09/2021,74,2021 Year 7,0.21
385158,09/2021,98,2021 Year 7,0.97
454909,09/2021,78,2021 Year 7,0.57
376826,09/2021,69,2021 Year 7,0.19
411779,09/2021,93,2021 Year 7,0.55
427943,09/2021,79,2021 Year 7,0.72
434291,09/2021,94,2021 Year 7,0.85
431000,09/2021,89,2021 Year 7,0.43
376947,09/2021,83,2021 Year 7,0.41
399788,09/2021,65,2021 Year 7,0.17
419773,09/2021,48,2021 Year 7,0.06
430883,09/2021,92,2021 Year 7,0.86
379017,09/2021,90,2021 Year 7,0.79
466497,09/2021,86,2021 Year 7,0.73
468414,09/2021,87,2021 Year 7,0.30
455836,09/2021,83,2021 Year 7,0.19
380682,09/2021,95,2021 Year 7,0.50
396660,09/2021,68,2021 Year 7,0.35
395552,09/2021,61,2021 Year 7,0.24
446580,09/2021,82,2021 Year 7,0.85
477848,09/2021,76,2021 Year 7,0.34
416968,09/2021,91,2021 Year 7,0.81
445197,09/2021,65,2021 Year 7,0.44
381763,09/2021,71,2021 Year 7,0.21
478092,09/2021,54,2021 Year 7,0.01
429225,09/2021,79,2021 Year 7,0.38
478373,09/2021,82,2021 Year 7,0.52
464775,09/2021,85,2021 Year 7,0.62
397816,09/2021,66,2021 Year 7,0.30
458100,09/2021,85,2021 Year 7,0.64
452745,09/2021,90,2021 Year 7,0.73
424476,09/2021,71,2021 Year 7,0.66
411055,09/2021,71,2021 Year 7,0.76
415901,09/2021,99,2021 Year 7,0.99
462992,09/2021,100,2021 Year 7,0.85
397508,09/2021,73,2021 Year 7,0.64
441637,09/2021,95,2021 Year 7,0.69
483004,09/2021,95,2021 Year 7,0.80
470475,09/2021,76,2021 Year 7,0.49
406722,09/2021,84,2021 Year 7,0.63
479494,09/2021,93,2021 Year 7,0.88
444951,09/2021,88,2021 Year 7,0.53
423357,09/2021,91,2021 Year 7,0.96
418074,09/2021,88,2021 Year 7,0.72
390593,09/2021,58,2021 Year 7,0.17
477768,12/2021,74,2021 Year 7,0.24
446484,12/2021,89,2021 Year 7,0.85
383448,12/2021,97,2021 Year 7,0.93
394950,12/2021,60,2021 Year 7,0.02
439751,12/2021,84,2021 Year 7,0.67
413309,12/2021,86,2021 Year 7,0.88
417021,12/2021,95,2021 Year 7,0.70
387698,12/2021,71,2021 Year 7,0.47
462749,12/2021,83,2021 Year 7,0.46
451772,12/2021,80,2021 Year 7,0.36
437244,12/2021,75,2021 Year 7,0.34
450689,12/2021,93,2021 Year 7,0.69
408849,12/2021,78,2021 Year 7,0.00
472926,12/2021,57,2021 Year 7,0.23
395536,12/2021,82,2021 Year 7,0.40
390452,12/2021,84,2021 Year 7,0.44
439610,12/2021,71,2021 Year 7,0.65
475950,12/2021,93,2021 Year 7,0.90
428561,12/2021,98,2021 Year 7,0.97
458174,12/2021,86,2021 Year 7,0.25
462302,12/2021,94,2021 Year 7,0.43
449259,12/2021,79,2021 Year 7,0.17
482423,12/2021,85,2021 Year 7,0.79
399189,12/2021,83,2021 Year 7,0.88
464963,12/2021,71,2021 Year 7,0.13
477962,12/2021,68,2021 Year 7,0.28
387568,12/2021,91,2021 Year 7,0.62
477140,12/2021,91,2021 Year 7,0.87
462236,12/2021,77,2021 Year 7,0.05
445260,12/2021,90,2021 Year 7,0.54
426914,12/2021,89,2021 Year 7,0.49
406815,12/2021,68,2021 Year 7,0.16
436903,12/2021,66,2021 Year 7,0.16
449800,12/2021,94,2021 Year 7,0.92
481420,12/2021,68,2021 Year 7,0.30
428185,12/2021,96,2021 Year 7,0.78
460836,12/2021,90,2021 Year 7,0.56
459609,12/2021,84,2021 Year 7,0.53
472002,12/2021,92,2021 Year 7,0.81
467190,12/2021,85,2021 Year 7,0.42
433473,12/2021,93,2021 Year 7,0.71
424325,12/2021,63,2021 Year 7,0.08
450521,12/2021,54,2021 Year 7,0.06
460505,12/2021,75,2021 Year 7,0.42
423145,12/2021,83,2021 Year 7,0.09
387070,12/2021,76,2021 Year 7,0.21
479408,12/2021,67,2021 Year 7,0.19
461331,12/2021,81,2021 Year 7,0.83
463268,12/2021,95,2021 Year 7,0.77
443179,12/2021,99,2021 Year 7,0.66
385135,12/2021,64,2021 Year 7,0.38
421871,12/2021,78,2021 Year 7,0.22
385344,12/2021,96,2021 Year 7,0.94
453329,12/2021,79,2021 Year 7,0.19
421284,12/2021,78,2021 Year 7,0.36
432860,12/2021,93,2021 Year 7,0.55
446195,12/2021,95,2021 Year 7,1,00
407159,12/2021,90,2021 Year 7,0.77
431958,12/2021,93,2021 Year 7,0.41
471365,12/2021,95,2021 Year 7,0.95
412051,12/2021,93,2021 Year 7,0.66
401295,12/2021,86,2021 Year 7,0.37
476290,12/2021,87,2021 Year 7,0.31
385300,12/2021,84,2021 Year 7,0.31
441983,12/2021,85,2021 Year 7,0.82
447384,12/2021,83,2021 Year 7,0.04
397567,12/2021,84,2021 Year 7,0.29
482451,12/2021,98,2021 Year 7,0.98
426231,12/2021,81,2021 Year 7,0.18
407057,12/2021,95,2021 Year 7,0.89
396426,12/2021,80,2021 Year 7,0.73
402868,12/2021,84,2021 Year 7,0.27
379007,12/2021,95,2021 Year 7,0.95
432347,12/2021,98,2021 Year 7,0.94
430856,12/2021,85,2021 Year 7,0.47
478626,12/2021,92,2021 Year 7,0.58
480993,12/2021,71,2021 Year 7,0.61
403764,12/2021,77,2021 Year 7,0.12
480895,12/2021,77,2021 Year 7,0.32
411030,12/2021,93,2021 Year 7,0.71
481316,12/2021,87,2021 Year 7,0.38
402991,12/2021,87,2021 Year 7,0.57
400432,12/2021,75,2021 Year 7,0.34
411408,12/2021,70,2021 Year 7,0.07
469576,12/2021,57,2021 Year 7,0.26
413579,12/2021,87,2021 Year 7,0.75
439387,12/2021,98,2021 Year 7,0.99
407262,12/2021,91,2021 Year 7,0.48
483625,12/2021,77,2021 Year 7,0.32
425062,12/2021,92,2021 Year 7,0.82
482420,12/2021,83,2021 Year 7,0.11
426867,12/2021,95,2021 Year 7,0.40
459888,12/2021,67,2021 Year 7,0.15
470428,12/2021,76,2021 Year 7,0.05
378371,12/2021,66,2021 Year 7,0.14
398420,12/2021,96,2021 Year 7,0.68
457780,12/2021,60,2021 Year 7,0.06
421838,12/2021,0,2021 Year 7,0.00
416685,12/2021,77,2021 Year 7,0.33
385758,12/2021,69,2021 Year 7,0.12
463560,12/2021,50,2021 Year 7,0.03
448945,12/2021,76,2021 Year 7,0.55
402513,12/2021,94,2021 Year 7,0.96
471797,12/2021,97,2021 Year 7,0.86
469304,12/2021,87,2021 Year 7,0.35
446018,12/2021,77,2021 Year 7,0.20
441925,12/2021,82,2021 Year 7,0.50
409812,12/2021,66,2021 Year 7,0.10
380775,12/2021,73,2021 Year 7,0.18
385158,12/2021,98,2021 Year 7,0.97
454909,12/2021,75,2021 Year 7,0.56
376826,12/2021,72,2021 Year 7,0.14
411779,12/2021,89,2021 Year 7,0.49
427943,12/2021,88,2021 Year 7,0.79
434291,12/2021,94,2021 Year 7,0.84
431000,12/2021,90,2021 Year 7,0.52
376947,12/2021,83,2021 Year 7,0.63
399788,12/2021,68,2021 Year 7,0.29
419773,12/2021,54,2021 Year 7,0.03
430883,12/2021,95,2021 Year 7,0.91
379017,12/2021,89,2021 Year 7,0.86
466497,12/2021,89,2021 Year 7,0.68
468414,12/2021,85,2021 Year 7,0.25
455836,12/2021,85,2021 Year 7,0.51
380682,12/2021,95,2021 Year 7,0.59
396660,12/2021,70,2021 Year 7,0.39
395552,12/2021,63,2021 Year 7,0.23
446580,12/2021,85,2021 Year 7,0.84
477848,12/2021,76,2021 Year 7,0.27
416968,12/2021,94,2021 Year 7,0.81
445197,12/2021,68,2021 Year 7,0.51
381763,12/2021,64,2021 Year 7,0.08
478092,12/2021,56,2021 Year 7,0.01
429225,12/2021,81,2021 Year 7,0.45
478373,12/2021,87,2021 Year 7,0.45
464775,12/2021,86,2021 Year 7,0.58
397816,12/2021,63,2021 Year 7,0.21
458100,12/2021,89,2021 Year 7,0.73
452745,12/2021,93,2021 Year 7,0.69
424476,12/2021,72,2021 Year 7,0.64
411055,12/2021,74,2021 Year 7,0.60
415901,12/2021,98,2021 Year 7,0.99
462992,12/2021,100,2021 Year 7,0.90
397508,12/2021,77,2021 Year 7,0.60
441637,12/2021,96,2021 Year 7,0.72
483004,12/2021,94,2021 Year 7,0.80
470475,12/2021,74,2021 Year 7,0.44
406722,12/2021,83,2021 Year 7,0.64
479494,12/2021,89,2021 Year 7,0.76
444951,12/2021,86,2021 Year 7,0.53
423357,12/2021,91,2021 Year 7,0.92
418074,12/2021,92,2021 Year 7,0.75
390593,12/2021,55,2021 Year 7,0.10
